,LOCATION,TIME,PC_HEALTHXP,PC_GDP,USD_CAP,TOTAL_SPEND,Core inflation,Core inflation index,"Gross domestic product per capita, volume",Real net disposable income of households and non-profit institutions serving households,Unemployment rate
0,AUS,1971,15.992,0.726,33.99,439.73,,,37050.9865604718,280710469382.469,1.88974781666884
1,AUS,1972,15.091,0.685,34.184,450.44,,,37299.0721058419,294595809507.551,2.58961715493526
2,AUS,1973,15.117,0.681,37.956,507.85,,,38339.1957776298,319917855102.754,2.2945170672018
3,AUS,1974,14.771,0.754,45.338,622.17,,,38344.9858002955,340144826877.262,2.65691962114405
4,AUS,1975,11.849,0.682,44.363,616.34,,,38909.9885667292,349430151379.701,4.87865540261642
5,AUS,1976,10.92,0.63,44.34,622.22,,,39998.6336035581,347258879882.214,4.7499983719519
6,AUS,1977,10.087,0.612,45.407,644.42,,,40104.3081299466,351445923427.133,5.60413449182044
7,AUS,1978,9.958,0.591,48.127,691.01,,,40490.6717077257,361429748261.085,6.29008617833514
8,AUS,1979,8.981,0.523,47.307,686.61,,,41849.943170616,373546076615.256,6.26490195559399
9,AUS,1980,9.263,0.539,54.875,806.22,,,42391.8629709395,381615409109.824,6.1051526695912
10,AUS,1981,9.388,0.547,62.73,936.14,,,43821.5408120188,393102140846.902,5.78362504645968
11,AUS,1982,9.248,0.564,65.245,990.7,,,42910.1961249193,400949552475.316,7.16263569573676
12,AUS,1983,9.589,0.58,72.629,1118.01,,,42251.7945886251,402406486550.821,9.96137906286821
13,AUS,1984,9.465,0.569,76.085,1185.36,,,44499.6598071813,415745744317.493,8.98680440642761
14,AUS,1985,9.56,0.579,81.784,1291.23,,,46122.3184256697,419563034015.733,8.25813617622227
15,AUS,1986,9.568,0.599,86.545,1386.31,,0.370370581088814,46262.9226389652,421494584263.697,8.08057117927521
16,AUS,1987,9.543,0.582,90.907,1478.5,4.79840486720606,0.388142461078479,47999.4958158867,422739939670.041,8.10639516909526
17,AUS,1988,9.823,0.595,100.971,1669.27,7.4175824177602,0.416933248027298,49316.2434521721,437651837839.527,7.2258083476125
18,AUS,1989,10.199,0.623,111.925,1881.95,6.39386189258325,0.443591384090425,50584.0826910268,463037339229.243,6.17498797179624
19,AUS,1990,10.474,0.677,122.156,2084.61,6.24999999999987,0.471315845596076,50542.3349409028,474883228968.855,6.92596377052426
20,AUS,1991,10.937,0.74,134.997,2333.29,4.47963800904974,0.492429089358072,49238.9493172877,467449190382.218,9.57923000965329
21,AUS,1992,11.407,0.779,148.927,2603.04,2.81507145950632,0.506291320110898,50160.7108120788,477906006350.136,10.7287675708731
22,AUS,1993,11.977,0.82,164.472,2900.43,2.7801179443977,0.520366815952229,51752.3873250618,484573145773.152,10.873773085581
23,AUS,1994,12.508,0.86,181.941,3239.54,2.41803278688511,0.532949456174024,53690.4888938811,504102326558.142,9.7186786411298
24,AUS,1995,12.762,0.883,196.205,3532.65,3.28131252501002,0.550437193431435,54759.2599792279,516957802867.032,8.46925628544632
25,AUS,1996,13.106,0.925,215.33,3924.34,2.98333979077878,0.566858605246321,56246.2688205085,539619832003.388,8.50621318628521
26,AUS,1997,13.437,0.951,232.169,4277.26,1.91873589164793,0.577735124760077,57963.2524561689,557437844003.433,8.36223009500942
27,AUS,1998,14.084,1.018,259.041,4820.13,1.69804355850857,0.587545318831307,60233.5067391818,561972659955.18,7.67559744144404
28,AUS,1999,14.679,1.074,287.245,5403.73,1.19782214156091,0.594583066751973,62016.1277462086,587563652725.053,6.87233376065081
29,AUS,2000,15.702,1.192,338.103,6433.7,3.8737446197991,0.617615696310514,63388.074918019,607482474833.987,6.28261913416262
30,AUS,2001,16.059,1.233,367.853,7090.26,4.41988950276251,0.644913627639156,64293.0369863085,642352755534.065,6.74231454361411
31,AUS,2002,15.374,1.211,381.433,7436.12,3.20767195767193,0.665600341224142,66119.1472772785,645561326015.105,6.36761733935463
32,AUS,2003,15.761,1.242,406.438,8015.26,2.65940403716757,0.683301343570058,67415.2540224233,668460021171.237,5.928697905392
33,AUS,2004,15.656,1.266,441.202,8794.36,1.9662921348315,0.696737044145874,69336.7682250774,712637255024.993,5.39472577382596
34,AUS,2005,15.218,1.213,437.125,8819.8,2.32629323538402,0.712945190872254,70561.7342690614,742023033175.871,5.03248019704152
35,AUS,2006,15.276,1.219,457.715,9360.71,2.51271313191743,0.730859458306675,71484.9151630727,763871083755.864,4.78229229087002
36,AUS,2007,15.201,1.224,486.408,10130.72,2.68456375838939,0.750479846449137,73262.9299583245,818161305381.52,4.37695416378445
37,AUS,2008,15.412,1.271,516.333,10971.66,4.12048877522014,0.781403284282363,73545.5452440563,866625002339.805,4.2341583856805
38,AUS,2009,15.535,1.327,530.969,11517.6,2.64737991266373,0.802089997867349,73472.7568609192,905119167498.528,5.56066622330354
39,AUS,2010,15.63,1.316,561.659,12374.33,2.7918106886466,0.824482832160375,74135.4769015696,936623338818.459,5.21132624373218
40,AUS,2011,15.311,1.307,583.222,13029.19,2.50905328504925,0.845169545745362,75057.1172784245,988336214154.797,5.08109169075669
41,AUS,2012,15.308,1.328,589.993,13412.59,2.17007317688596,0.863510343356791,76631.1390678952,996700621545.853,5.2235755894894
42,AUS,2013,14.345,1.255,586.402,13562.38,2.49444307236376,0.885050117295799,76956.7755241457,1018234353085.8,5.6619757382734
43,AUS,2014,12.498,1.229,569.455,13368.35,2.43373493975902,0.906589891234805,77733.8694905795,1052590646225.08,6.0767579197209
44,AUS,2015,12.442,1.267,594.233,14152.25,2.11714890613972,0.925783749200256,78361.689620423,1067984777242.16,6.05421050754278
45,AUS,2016,12.915,1.303,650.539,15737.13,1.54342317438381,0.940072510130092,79218.2184209763,1080910859571.22,5.7104117906159
46,AUS,2017,12.275,1.243,622.908,15318.92,1.70145190562615,0.956067391767968,79808.9793528555,1099644685339.23,5.59326830054171
47,AUS,2018,11.93,1.2,619.256,15458.65,1.65068034798118,0.971849008317338,80853.8607579727,1129975296693.62,5.30614694486061
48,AUS,2019,12.049,1.231,617.729,15650.06,1.62387535659437,0.98763062486671,81197.50436066,1158000925010.21,5.16567719171929
49,AUS,2020,11.961,1.278,680.868,17463.75,1.25242928093277,1.0,78705.5306310974,1231521171452.26,6.45704076857843
50,AUT,1990,10.131,0.782,150.163,1152.93,,,28163.1516829246,147153393614.084,3.26904415106067
51,AUT,1991,10.001,0.778,158.596,1229.89,,,28843.0062484324,150873855358.943,3.50716709687011
52,AUT,1992,9.889,0.799,168.787,1323.41,,,29124.5406268399,156140964842.011,3.63979391695209
53,AUT,1993,9.746,0.838,180.292,1425.32,,,29037.5335385935,157615038278.02,4.27269761478424
54,AUT,1994,9.457,0.85,190.767,1513.95,,,29620.8246260515,159958324413.636,3.64859178858787
55,AUT,1995,9.542,0.851,199.061,1582.19,,,30364.5777110464,158854707549.655,3.76748599528839
56,AUT,1996,9.839,0.874,212.567,1691.82,,,31003.5308384856,158495409737.449,4.17980090837776
57,AUT,1997,11.213,1.007,253.988,2023.79,,,31654.4058947488,156409065869.443,4.30948319266109
58,AUT,1998,11.843,1.084,287.561,2293.81,,,32730.0490209782,160732482118.253,4.29190477312674
59,AUT,1999,12.551,1.168,322.489,2577.44,,,33794.2190274342,167486691350.468,3.72965538818531
60,AUT,2000,12.734,1.172,357.062,2860.63,,,34921.2190225981,170178452628.887,3.53461545955846
61,AUT,2001,12.897,1.196,368.742,2965.53,,,35207.5840808088,169153894365.858,3.59075924623732
62,AUT,2002,13.154,1.236,407.91,3296.71,,,35642.8805012942,171014235641.187,3.95205785140005
63,AUT,2003,13.607,1.299,435.142,3533.97,,,35820.4662460914,174443413597.73,4.28504743641502
